text,date
"Quem compra moda criminosa  legalizada, deveria saber que essa empresa compra algodão oriundo de grilagem de terras no Brasil, colocando em risco o bioma CERRADO  brasileiro e a vida dos nossos povos originarios. Tudo está certificado pela Better Cotton que não vê  nenhuma irregularidade.
Informações do relatório desenvolvido pela ONG EARTHSIGHT lançado em 11/04/24.
 #crimesnamoda  #grilagem #desmatamento  #cerrado",2024-05-15 11:40:04+00:00
Why show it? It's out of stock in both colours in every side 😂,2024-05-15 11:10:53+00:00
I love H&M store ❤️😍,2024-05-15 11:06:10+00:00
"Yuk, the 80s and 90s are finished, where are the fresh new designs?",2024-05-15 11:01:45+00:00
Genocide supporter...blocking this account.,2024-05-15 10:47:18+00:00
I want 1🔥🔥🔥,2024-05-15 10:40:18+00:00
Done block out 🔥,2024-05-15 10:39:47+00:00
🔥🔥🔥❤️❤️,2024-05-15 10:29:56+00:00
👽,2024-05-15 10:24:27+00:00
mükemmel,2024-05-16 06:47:21+00:00
"This company doesn't see any more money from me! For me, starve!",2024-05-16 04:59:01+00:00
Cute,2024-05-16 03:35:08+00:00
"@itsgonnabejustright wait Israel is now a regime, last time I checked was a Republic while Palestine isn't!",2024-05-15 22:08:53+00:00
I love the first dress but it’s sold out 😭😭😭😭,2024-05-15 21:02:57+00:00
"@junglasuburbana oh Marina, you gullible thing you. Supporting a regime no better than Nazi Germany isn't a cute look on you. But go ahead, keep shouting 'khammass' and 'human shieldzz', put your fingers in your ears too, if that helps you sweetie 😉😘",2024-05-15 20:40:18+00:00
"@itsgonnabejustright Just to make it clear Zara and H&M are not thr same company and they don't both take the blame just because they sell the same kind of product. Even though I have to say that Zara did anything wrong and so H&M, is not them killing kids is Hamas using them as huma shields.",2024-05-15 20:02:08+00:00
🔥,2024-05-15 19:26:10+00:00
"In Vietnam, ducks are stabbed in the neck and their legs are cut off. Their stolen feathers are then sold to H&M as “responsibly sourced” down @peta",2024-05-15 17:56:35+00:00
Is it me or is the online customer service with HM the worst. 10 minutes asking rep to speak to a supervisor as she made up reasons for my call none of them I ever told her she refused to allow me to speak to a supervisor. I had to literally y’all at her for her to get the point. She don’t listen to a word I was saying the conversation was repetitive and dare I say down right annoying because it was as if I was talking to myself the language barriers have become to much when trying to get issues resolved,2024-05-15 12:11:29+00:00
"Bouncing back stronger when it comes to finance. All thanks to you I actually made about $100,000 with an investment of $10,000. I recommend @ashley__taylor_",2024-05-15 11:44:22+00:00
Check my page,2024-05-15 10:30:17+00:00
Nice😍🔥👏,2024-05-15 10:29:53+00:00
People you need to boycott brands that still participate funding arms for Israel 220 days of genocide 🇵🇸 #blockout2024 🇵🇸,2024-05-15 10:06:24+00:00
🩷🩷🩷,2024-05-15 09:52:38+00:00
"@ahh_sharon_ Hello, Sharon! We greatly appreciate your interest on checking this beautiful dress. Rest assured, we will help you locate the item and see what we can do. We're able to find the item and you may check it on the app or our website using this link https://www2.hm.com/en_au/productpage.1217947003.html. As of now, this item is still labeled as coming soon which means we're still about to release this item online in Australia but we currently don't have the exact date to when this will be available for purchase. However, we suggest keeping an eye on the item online using the link provided for you to be notified once it gets released and for you to place an order since this item is only exclusive for online purchase. 

Kindly refer to the steps below to place an order successfully. 

1. Kindly log on to your H&M account by using our website through this link https://www2.hm.com/en_au/index.html. 

2. Add the boots to your shopping bag. 

3. Check all the necessary information on your H&M account(email, delivery address and billing address) 

4. Proceed to checkout. 

After a few minutes, you will receive an email to confirm your order. To know more about our order and deliveries, please refer to this link https://www2.hm.com/en_au/customer-service/shippinganddelivery.html. Hope this helps!",2024-05-15 09:43:31+00:00
